id;ean;categories;manufacturer;name;description;recommended_price;price;stock;image;leadtime_to_ship;gender;flammable;restricted_countries
241252;3760269849303;14498/15008;"LOLITA LEMPICKA";"Lolita Lempicka Mon Premier Eau De Perfume Spray 100ml";;128.00€;32.90€;600;https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/3760269849303_1.webp;24;woman;1;
241253;3760269849310;14498/15008;"LOLITA LEMPICKA";"Lolita Lempicka Mon Premier Eau De Perfume Spray 50ml";;93.00€;24.40€;2;https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/3760269849310.webp;48;woman;1;
243109;3760269849327;14498/15008;"LOLITA LEMPICKA";"Lolita Lempicka Mon Premier Eau De Perfume Spray 30ml";;67.00€;17.50€;600;https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/3760269849327.webp;24;woman;1;
12264;4011700740031;14498/15048;4711;"4711 Eau De Cologne 800ml";;143.00€;26.30€;50;https://images.btswholesaler.com/imgs/productos_cosmetica/imagenes/4011700740031_1.webp;48;unisex;1;
