Código artículo;Código artículo proveedor;Código EAN;Marca;Descripción;Descripción adicional;Superoferta;Cantidad mínima;Precio cantidad;Cantidad mínima 1;Precio cantidad 1;Precio;Stock;Peso;Unidades caja;Url Imagen;Categoría;Subcategoría
P004460;N841413;8414135623256;NIKE FRAGANCIAS;NIKE MEN 150 ON FIRE DEO SPRAY 200 ML;;No;0;0;0;0;1.55;84;0.000000;6;http://pedidosnaypes.es/5352-thickbox_default/nike-men-150-on-fire-deo-spray-200-ml.jpg;HIGIENE;CORPORAL
P000769;N341420;3414202000572;DAVIDOFF;DAVIDOFF COOL WATER EDT SPRAY 125 ML;Descubre el poder del frío con Cool Water Man. Inspirado por la fuerza del océano, este icónico aroma masculino ha estado dando a los hombres esa sensación vital de frescura intensa durante más de 25 años.;Sí;3;15.95;36;15.75;16.95;167;0.000000;1;http://pedidosnaypes.es/2532-thickbox_default/davidoff-cool-water-edt-spray-125-ml.jpg;SELECTIVO;PERFUMES HOMBRE
P000777;N341420;3414202011752;DAVIDOFF;DAVIDOFF COOL WATER WOMAN EDT SPRAY 100 ML;Eau de Toilette para mujerExperimenta la fresca sensación de Davidoff Cool Water Woman. Como una sirena moderna que emerge del mar en una ola de frescura, Cool Water Woman captura la esencia de la belleza sensual y natural.;Sí;3;15.5;0;0;15.95;403;0.000000;1;http://pedidosnaypes.es/2150-thickbox_default/davidoff-cool-water-woman-edt-spray-100-ml.jpg;SELECTIVO;PERFUMES MUJER
